Zip5,Sum
98122,13250
98112,12021
98070,11480
98110,10921
98115,10149
98117,9650
98103,8800
98119,8350
98144,7550
98105,7216
98101,7149
98116,6450
98368,6150
98102,5760
98125,5731
98203,5650
98118,5337
98006,5300
98109,5250
98225,4700
98502,4450
98008,4400
98146,4400
98052,4309
98004,4250
98177,4100
98826,3750
98155,3700
98056,3700
98226,3500
98660,3500
98272,3384
98034,3100
98501,3058
98033,3050
98250,3000
98275,3000
98107,3000
98281,3000
98121,2950
98036,2850
98133,2802
98221,2800
98512,2750
98072,2750
98199,2749
98612,2700
98506,2695
98642,2650
98003,2615
98178,2400
99208,2250
98012,2250
98145,2250
98208,2250
98407,2250
98136,2150
98040,2100
98503,2050
98126,2000
98026,2000
98335,1905
98058,1900
98229,1750
98059,1750
99201,1750
98273,1700
98037,1608
98332,1600
98201,1520
98045,1500
98029,1500
98106,1452
98092,1400
98043,1400
98075,1365
98466,1321
98290,1250
98271,1250
98074,1250
98001,1250
99336,1250
98528,1250
99362,1250
98108,1250
98223,1246
98589,1200
98005,1200
98062,1200
98020,1100
98926,1065
98422,1000
98249,1000
98232,1000
98065,1000
98683,1000
98661,1000
98383,1000
98375,1000
98672,1000
99223,1000
98261,1000
98077,1000
98236,1000
98603,1000
98127,1000
98367,1000
98403,1000
98027,1000
98406,950
98028,950
98204,800
98019,800
98362,762
98409,750
98104,750
98467,750
98604,750
98405,750
99203,750
98292,750
98233,750
99205,750
98576,725
98908,714
98038,700
98042,700
99163,700
98366,615
98396,514
98365,500
98198,500
99353,500
98023,500
98345,500
98296,500
98325,500
98055,500
98321,500
99006,500
98324,500
98260,500
98031,500
98837,500
98682,500
98508,500
98007,500
99123,500
98239,500
98032,500
98671,500
98358,500
98902,500
98390,500
98663,490
98011,450
98282,450
98035,432
98310,400
98073,400
98354,400
98148,300
99352,300
98082,300
98382,300
98359,289
98311,250
98637,250
98446,250
98662,250
99338,250
98087,250
98605,250
98685,250
98665,250
98862,250
98550,250
98262,250
98391,250
99204,250
98053,250
98277,250
98349,250
98230,250
98674,250
98942,250
98327,250
98050,250
98606,250
98047,250
98625,250
98274,250
98342,250
98166,250
98248,250
98527,250
98433,250
98640,250
98537,250
98380,250
98841,250
,250
99354,250
98650,250
98544,250
98372,250
98686,235
98948,234
98569,225
98607,201
98402,200
98021,200
98206,200
98168,200
98124,200
98227,200
98419,200
98516,0
98509,0
