Zip5,Sum
98112,78600
98004,75050
98119,44056
98144,43935
98102,35750
98040,34600
98109,27100
98101,27010
98117,20563
98121,19500
98039,19400
98122,19235
98177,17700
98199,17599
98110,17450
98104,17200
98105,16400
98052,15561
98136,15500
98115,14271
98103,14050
98070,13750
98116,13500
98020,13014
98661,11007
98146,9750
98006,9400
98155,8800
98033,8250
98166,6900
98075,6350
98027,5900
98077,5900
98053,5900
98005,5700
98065,5400
98388,5400
98178,4950
98506,4700
98406,3950
98107,3450
98382,3216
98513,3200
99201,3200
98022,3170
98660,3079
98074,3000
98403,2975
99016,2950
98271,2950
98671,2950
98021,2700
98245,2700
98948,2700
98346,2700
98392,2700
98588,2700
98108,2700
98404,2700
98257,2700
98111,2700
99155,2700
98277,2700
98683,2700
98930,2700
98856,2700
98665,2700
98826,2700
98126,2554
98569,1975
98516,1800
98118,1700
98225,1700
98296,1500
98198,1500
98260,1216
98008,1200
98402,1200
98501,1021
98226,1000
98445,1000
98228,1000
98168,1000
99203,800
98407,780
98685,750
98125,750
98368,750
98662,750
98498,600
98851,539
98204,500
98029,500
98011,500
98537,500
99114,500
98862,500
98642,500
98446,500
98466,500
98837,500
99350,450
98133,450
98292,450
98391,400
98632,375
99362,300
98353,300
98312,300
99218,300
98502,275
98036,260
98908,252
98072,250
98607,250
98684,250
98907,250
98026,250
98380,250
98001,250
98422,250
98087,250
98686,250
98106,250
98028,250
98034,250
98512,250
98640,250
98362,250
98328,232
98046,225
99205,225
98270,212
98383,200
98250,200
